task,episode,step,subgoal,evaluation_active,predicted_success,oracle_success,predicted_label,uncertainty_metric,uncertainty_value,confidence,entropy,score_status,raw_score_status,fallback_applied,confidence_label,constrained_parse_fail,failed_response_text
boilWater,boilWater-1,00:18,pick up pot,True,True,True,A,entropy,0.0023487696575978465,0.9998320141112098,0.0023487696575978465,available,partial,True,A,False,
boilWater,boilWater-1,00:25,put pot inside sink,True,True,True,A,entropy,4.1304756432889446e-11,0.9999999999990001,4.1304756432889446e-11,available,partial,True,A,False,
boilWater,boilWater-1,00:28,toggle on faucet,True,True,True,A,entropy,0.00019706206806479514,0.9999890000604997,0.00019706206806479514,available,partial,True,A,False,
boilWater,boilWater-1,00:31,toggle off faucet,True,True,True,A,entropy,4.130553781330152e-11,0.9999999999989999,4.130553781330152e-11,available,partial,True,A,False,
boilWater,boilWater-1,00:34,pick up pot,True,True,True,A,entropy,0.0012041386750673935,0.9999200031999146,0.0012041386750673935,available,partial,True,A,False,
boilWater,boilWater-1,00:44,put pot on fourth stove burner,True,False,True,B,entropy,7.749689944602653e-05,0.999996000008,7.749689944602653e-05,available,partial,True,B,False,
boilWater,boilWater-1,00:47,toggle on fourth stove burner,True,True,True,A,entropy,4.1305230454201995e-11,0.9999999999989999,4.1305230454201995e-11,available,partial,True,A,False,
boilWater,boilWater-10,00:18,pick up pot,True,True,False,A,entropy,0.002058032194672294,0.999855010511992,0.002058032194672294,available,partial,True,A,False,
boilWater,boilWater-10,00:25,toggle on faucet,False,True,,A,entropy,0.0005537418124830566,0.9999660005779933,0.0005537418124830566,available,partial,True,A,False,
boilWater,boilWater-10,00:28,toggle off faucet,False,True,,A,entropy,0.008874684643303623,0.9992492819299192,0.008874684643303623,available,partial,True,A,False,
boilWater,boilWater-10,00:31,put pot inside sink,False,True,,A,entropy,4.1304602754818765e-11,0.9999999999990001,4.1304602754818765e-11,available,partial,True,A,False,
boilWater,boilWater-10,00:34,pick up pot,False,True,,A,entropy,0.0011495578596289618,0.9999240028879269,0.0011495578596289618,available,partial,True,A,False,
boilWater,boilWater-10,00:53,put pot on fourth stove burner,False,True,,A,entropy,4.1305230454201995e-11,0.9999999999989999,4.1305230454201995e-11,available,partial,True,A,False,
boilWater,boilWater-10,00:56,toggle on fourth stove burner,False,True,,A,entropy,4.130553781330152e-11,0.9999999999989999,4.130553781330152e-11,available,partial,True,A,False,
boilWater,boilWater-2,00:18,pick up pot,True,True,False,A,entropy,0.0016576221037838258,0.999886006497753,0.0016576221037838258,available,partial,True,A,False,
boilWater,boilWater-2,00:25,put pot inside sink,False,True,,A,entropy,4.1304602754818765e-11,0.9999999999990001,4.1304602754818765e-11,available,partial,True,A,False,
boilWater,boilWater-2,00:28,toggle on faucet,False,True,,A,entropy,0.00019706206806479514,0.9999890000604997,0.00019706206806479514,available,partial,True,A,False,
boilWater,boilWater-2,00:31,toggle off faucet,False,True,,A,entropy,0.0006127891286137383,0.9999620007219909,0.0006127891286137383,available,partial,True,A,False,
boilWater,boilWater-2,00:34,pick up pot,False,True,,A,entropy,0.0017099103395855943,0.9998820069617261,0.0017099103395855943,available,partial,True,A,False,
boilWater,boilWater-2,00:53,put pot on fourth stove burner,False,True,,A,entropy,0.000387561681069886,0.9999770002644979,0.000387561681069886,available,partial,True,A,False,
boilWater,boilWater-2,00:56,toggle on fourth stove burner,False,True,,A,entropy,0.0001469935209061058,0.9999920000320001,0.0001469935209061058,available,partial,True,A,False,
boilWater,boilWater-3,00:18,pick up pot,True,True,False,A,entropy,0.002058032194672294,0.999855010511992,0.002058032194672294,available,partial,True,A,False,
boilWater,boilWater-3,00:25,toggle on faucet,False,True,,A,entropy,0.0005537418124830566,0.9999660005779933,0.0005537418124830566,available,partial,True,A,False,
boilWater,boilWater-3,00:28,put pot inside sink,False,True,,A,entropy,0.000387561681069886,0.9999770002644979,0.000387561681069886,available,partial,True,A,False,
boilWater,boilWater-3,00:31,toggle off faucet,False,True,,A,entropy,0.0006127891286137383,0.9999620007219909,0.0006127891286137383,available,partial,True,A,False,
boilWater,boilWater-3,00:34,pick up pot,False,True,,A,entropy,0.004222465934399991,0.9996760524823317,0.004222465934399991,available,partial,True,A,False,
boilWater,boilWater-3,00:53,put pot on fourth stove burner,False,True,,A,entropy,0.0004487170972098937,0.9999730003644967,0.0004487170972098937,available,partial,True,A,False,
boilWater,boilWater-3,00:56,toggle on fourth stove burner,False,True,,A,entropy,0.000671227643998151,0.9999580008819876,0.000671227643998151,available,partial,True,A,False,
boilWater,boilWater-4,00:18,pick up pot,True,True,True,A,entropy,0.002058032194672294,0.999855010511992,0.002058032194672294,available,partial,True,A,False,
boilWater,boilWater-4,00:25,put pot inside sink,True,True,True,A,entropy,4.1304602754818765e-11,0.9999999999990001,4.1304602754818765e-11,available,partial,True,A,False,
boilWater,boilWater-4,00:26,toggle on faucet,True,False,True,B,entropy,4.130596043592748e-11,0.9999999999989999,4.130596043592748e-11,available,partial,True,B,False,
boilWater,boilWater-4,00:29,toggle off faucet,True,True,True,A,entropy,7.749689944602653e-05,0.999996000008,7.749689944602653e-05,available,partial,True,A,False,
boilWater,boilWater-4,00:32,pick up pot,True,True,True,A,entropy,4.1305806754454886e-11,0.9999999999989999,4.1305806754454886e-11,available,partial,True,A,False,
boilWater,boilWater-4,00:51,put pot on fourth stove burner,True,True,True,A,entropy,0.0006127891286137383,0.9999620007219909,0.0006127891286137383,available,partial,True,A,False,
boilWater,boilWater-4,00:54,toggle on fourth stove burner,True,True,True,A,entropy,4.1304756432889446e-11,0.9999999999990001,4.1304756432889446e-11,available,partial,True,A,False,
